Date/Time,步行 + 跑步距离 (km),Source
2026-07-05 20:27:07,0.165,范康松的Apple Watch
2026-07-05 20:28:07,0.141,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:29:07,0.152,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:30:07,0.151,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:31:07,0.154,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:32:07,0.162,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:33:07,0.165,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:34:07,0.171,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:35:07,0.169,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:36:07,0.16,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:37:07,0.173,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:38:07,0.159,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:39:07,0.15,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:40:07,0.165,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:41:07,0.162,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:42:07,0.162,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:43:07,0.16,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:44:07,0.168,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:45:07,0.163,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:46:07,0.157,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:47:07,0.163,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:48:07,0.166,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:49:07,0.159,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:50:07,0.174,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:51:07,0.159,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:52:07,0.163,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:53:07,0.169,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:54:07,0.168,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:55:07,0.16,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:56:07,0.16,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:57:07,0.16,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:58:07,0.165,范康松的Apple Watch|范康松的iPhone
2026-07-05 20:59:07,0.147,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:00:07,0.165,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:01:07,0.159,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:02:07,0.15,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:03:07,0.161,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:04:07,0.156,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:05:07,0.154,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:06:07,0.159,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:07:07,0.17,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:08:07,0.168,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:09:07,0.157,范康松的Apple Watch|范康松的iPhone
2026-07-05 21:10:07,0.083,范康松的Apple Watch|范康松的iPhone
