Date/Time,静息能量 (kJ),Source
2026-07-05 20:27:07,4.16,范康松的Apple Watch
2026-07-05 20:28:07,4.71,范康松的Apple Watch
2026-07-05 20:29:07,4.71,范康松的Apple Watch
2026-07-05 20:30:07,4.71,范康松的Apple Watch
2026-07-05 20:31:07,4.71,范康松的Apple Watch
2026-07-05 20:32:07,4.71,范康松的Apple Watch
2026-07-05 20:33:07,4.71,范康松的Apple Watch
2026-07-05 20:34:07,4.71,范康松的Apple Watch
2026-07-05 20:35:07,4.71,范康松的Apple Watch
2026-07-05 20:36:07,4.71,范康松的Apple Watch
2026-07-05 20:37:07,4.71,范康松的Apple Watch
2026-07-05 20:38:07,4.71,范康松的Apple Watch
2026-07-05 20:39:07,4.71,范康松的Apple Watch
2026-07-05 20:40:07,4.71,范康松的Apple Watch
2026-07-05 20:41:07,4.71,范康松的Apple Watch
2026-07-05 20:42:07,4.71,范康松的Apple Watch
2026-07-05 20:43:07,4.71,范康松的Apple Watch
2026-07-05 20:44:07,4.71,范康松的Apple Watch
2026-07-05 20:45:07,4.71,范康松的Apple Watch
2026-07-05 20:46:07,4.71,范康松的Apple Watch
2026-07-05 20:47:07,4.71,范康松的Apple Watch
2026-07-05 20:48:07,4.71,范康松的Apple Watch
2026-07-05 20:49:07,4.71,范康松的Apple Watch
2026-07-05 20:50:07,4.71,范康松的Apple Watch
2026-07-05 20:51:07,4.71,范康松的Apple Watch
2026-07-05 20:52:07,4.71,范康松的Apple Watch
2026-07-05 20:53:07,4.71,范康松的Apple Watch
2026-07-05 20:54:07,4.71,范康松的Apple Watch
2026-07-05 20:55:07,4.71,范康松的Apple Watch
2026-07-05 20:56:07,4.71,范康松的Apple Watch
2026-07-05 20:57:07,4.71,范康松的Apple Watch
2026-07-05 20:58:07,4.71,范康松的Apple Watch
2026-07-05 20:59:07,4.71,范康松的Apple Watch
2026-07-05 21:00:07,4.71,范康松的Apple Watch
2026-07-05 21:01:07,4.71,范康松的Apple Watch
2026-07-05 21:02:07,4.71,范康松的Apple Watch
2026-07-05 21:03:07,4.71,范康松的Apple Watch
2026-07-05 21:04:07,4.71,范康松的Apple Watch
2026-07-05 21:05:07,4.71,范康松的Apple Watch
2026-07-05 21:06:07,4.71,范康松的Apple Watch
2026-07-05 21:07:07,4.71,范康松的Apple Watch
2026-07-05 21:08:07,4.71,范康松的Apple Watch
2026-07-05 21:09:07,4.71,范康松的Apple Watch
2026-07-05 21:10:07,3.48,范康松的Apple Watch
